Tic_Rais_date_time,Ticket_ID,LHO,Site_Class,Criticality,Terminal_ID,State,Address,Location_Type,Call_Mode,Queue_Type,Call_Type,Category,Sub_Category,CD_Make,Created_Date,Created_Time,Ageing,Numerical_Tic_Rais_date_time
18/03/2021 13:33,1678275.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,18/03/2021,13:33:33,6H:20M,44273.56497
18/03/2021 20:23,1680417.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,18/03/2021,20:23:28,16H:10M,44273.84963
19/01/2021 11:59,1291446.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,19/01/2021,11:59:23,6H:5M,44215.49957
19/02/2021 12:13,1503698.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Direct,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,NCR,19/02/2021,12:13:04,2H:44M,44246.50907
19/03/2021 12:41,1683185.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,19/03/2021,12:41:02,0H:20M,44274.5285
20/02/2021 08:49,1510615.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,20/02/2021,8:49:03,2H:50M,44247.3674
20/03/2021 13:14,1691654.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,20/03/2021,13:14:25,0H:10M,44275.55168
20/07/2021 10:31,2290416.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Direct,Monitoring,ATM Down,ATM Down,Actionable query,NCR,20/07/2021,10:31:07,1D:5H,44397.43828
20/10/2021 08:26,2540437.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Direct,Monitoring (CRM/Bank),ATM Down,Conectivity / Powar,Connectivity issue,NCR,20/10/2021,8:26:04,1H:49M,44489.35144
20/10/2021 12:19,2540999.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Direct,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,NCR,20/10/2021,12:19:56,4H:59M,44489.51384
21/02/2021 17:11,1514486.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,21/02/2021,17:11:05,18H:1M,44248.71603
